,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kahului,40,US,1604724273,69,20.89,-156.47,80.6,17.22
1,Punta Arenas,90,CL,1604724330,66,-53.15,-70.92,48.2,13.87
2,‘Āhuimanu,75,US,1604724754,74,21.44,-157.84,80.6,12.75
3,Busselton,0,AU,1604724335,29,-33.65,115.33,82.99,8.34
4,Port Alfred,94,ZA,1604724458,59,-33.59,26.89,65.86,4.14
5,Bundaberg,75,AU,1604724758,47,-24.85,152.35,82.0,13.87
6,Ushuaia,75,AR,1604724378,61,-54.8,-68.3,46.4,23.04
7,Tiksi,65,RU,1604724566,93,71.69,128.87,-5.03,2.91
8,Gainesville,75,US,1604724761,100,29.65,-82.32,69.01,5.82
9,Mataura,99,NZ,1604724363,92,-46.19,168.86,45.7,4.03
10,Bluff,100,NZ,1604724163,84,-46.6,168.33,46.24,11.39
11,Touros,40,BR,1604724230,94,-5.2,-35.46,75.2,3.36
12,Tuktoyaktuk,90,CA,1604724149,92,69.45,-133.04,14.0,5.82
13,Airai,0,TL,1604724189,32,-8.93,125.41,81.27,8.1
14,Cherskiy,83,RU,1604724559,95,68.75,161.3,5.31,8.81
15,Laramie,1,US,1604724889,45,41.31,-105.59,51.01,6.93
16,Hofn,0,IS,1604724368,75,64.25,-15.21,36.14,9.62
17,Sitka,1,US,1604724536,86,57.05,-135.33,39.2,14.99
18,Mahanoro,9,MG,1604724892,78,-19.9,48.8,77.11,8.97
19,Khatanga,0,RU,1604724331,89,71.97,102.5,-4.68,6.96
20,Vaini,20,TO,1604724357,74,-21.2,-175.2,78.8,10.29
21,Naze,40,JP,1604724416,88,28.37,129.48,82.4,8.05
22,Tasiilaq,100,GL,1604724150,79,65.61,-37.64,28.4,31.09
23,Hambantota,40,LK,1604724898,79,6.12,81.12,87.8,10.29
24,Hong Kong,32,HK,1604724535,54,22.29,114.16,84.0,1.99
25,Henties Bay,10,NA,1604724900,91,-22.12,14.28,59.0,3.0
26,Bairiki Village,75,KI,1604724336,66,1.33,172.98,86.0,9.17
27,Baraki Barak,0,AF,1604724902,28,33.97,68.95,55.99,1.1
28,Rikitea,52,PF,1604724354,70,-23.12,-134.97,71.65,16.35
29,Kapaa,75,US,1604724447,74,22.08,-159.32,80.6,14.99
30,Qaanaaq,41,GL,1604724382,78,77.48,-69.36,-7.85,7.76
31,Ribeira Grande,61,PT,1604724500,69,38.52,-28.7,58.89,28.39
32,Thompson,90,CA,1604724281,92,55.74,-97.86,14.0,6.93
33,Nikolskoye,0,RU,1604724406,76,59.7,30.79,50.0,20.13
34,George Town,40,MY,1604724441,74,5.41,100.34,87.8,5.82
35,Hilo,1,US,1604724095,69,19.73,-155.09,78.8,2.51
36,Butaritari,100,KI,1604724338,75,3.07,172.79,81.43,13.69
37,Tiznit Province,0,MA,1604724914,73,29.58,-9.5,58.89,0.96
38,Bredasdorp,22,ZA,1604724915,87,-34.53,20.04,51.8,6.93
39,Zorritos,80,PE,1604724916,81,-3.68,-80.68,66.99,8.34
40,Klaksvík,98,FO,1604724917,75,62.23,-6.59,42.8,6.93
41,Saint Paul Harbor,1,US,1604724711,79,57.79,-152.41,32.0,6.93
42,Pueblo Nuevo,0,MX,1604724919,59,23.38,-105.38,54.12,5.1
43,Fortuna,90,US,1604724853,100,40.6,-124.16,50.0,6.93
44,New Norfolk,96,AU,1604724922,47,-42.78,147.06,57.99,1.99
45,Port Blair,0,IN,1604724923,70,11.67,92.75,84.76,11.68
46,Puerto Ayora,0,EC,1604724924,79,-0.74,-90.35,68.0,4.0
47,Yellowknife,90,CA,1604724651,92,62.46,-114.35,9.0,5.82
48,Fort Nelson,75,CA,1604724926,78,58.81,-122.7,8.6,5.82
49,Tarauacá,59,BR,1604724927,71,-8.16,-70.77,76.44,0.92
50,Hasaki,75,JP,1604724928,77,35.73,140.83,72.0,3.36
51,Buala,24,SB,1604724930,67,-8.14,159.59,84.51,3.22
52,Saint-Philippe,0,RE,1604724659,65,-21.36,55.77,78.8,17.22
53,Ridgecrest,12,US,1604724887,50,35.62,-117.67,57.0,10.0
54,Longyearbyen,90,SJ,1604724854,86,78.22,15.64,33.8,13.87
55,Qujing,92,CN,1604724934,78,25.48,103.78,56.66,5.82
56,Strezhevoy,90,RU,1604724652,100,60.73,77.59,33.8,8.95
57,Dayong,90,CN,1604724936,73,25.02,118.29,77.0,4.47
58,Nelson Bay,75,AU,1604724937,77,-32.72,152.15,68.0,23.04
59,Tynset,6,NO,1604724938,92,62.28,10.78,30.2,3.36
60,Ponta do Sol,20,PT,1604724648,63,32.67,-17.1,64.0,5.82
61,Erenhot,0,CN,1604724941,59,43.65,111.98,33.76,19.35
62,Changli,0,CN,1604724942,24,39.7,119.15,63.43,21.05
63,Hobart,75,AU,1604724752,47,-42.88,147.33,57.99,10.29
64,Osmeña,100,PH,1604724944,77,10.52,119.93,82.08,7.81
65,Kavieng,84,PG,1604724945,65,-2.57,150.8,85.12,11.54
66,Jumla,0,NP,1604724947,23,29.27,82.18,61.97,4.5
67,Castro,16,BR,1604724948,98,-24.79,-50.01,50.56,5.21
68,Saskylakh,87,RU,1604724949,91,71.92,114.08,-4.85,2.77
69,Pangnirtung,100,CA,1604724950,86,66.15,-65.71,11.71,3.22
70,Lavrentiya,15,RU,1604724951,91,65.58,-171.0,32.63,21.47
71,Aklavik,94,CA,1604724952,72,68.22,-135.01,19.4,4.7
72,Vila Velha,75,BR,1604724953,94,-20.33,-40.29,71.6,5.82
